candidate_id,rule_mode,instance,profile,atlas_capacity,initial_seed,atlas_iteration,parent_domain_id,fiber_label,fiber_state_count,chart_basis,temporal_window_size,temporal_block_mode,apply_basis_to_atlas_signature,n_charts,n_transport_edges,chart_id,chart_type,support_desc,label_desc,n_support,n_labels,entropy_bits
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,0,local_capacity_coord_block,x[1]=1,"x[2,3]",8,4,2.0
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,1,local_capacity_next_block,x[3]=1,"T(x)[2,3]",8,4,2.0
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,2,local_capacity_next_block,x[0]=0,"T(x)[1,2]",14,4,1.950212064914747
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,3,local_capacity_next_block,x[4]=1,"T(x)[1,2]",14,4,1.950212064914747
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,4,capacity_next_block,temporal_window=2;all,"T(x)[1,2]",17,4,1.9039678130877662
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,5,local_capacity_coord_block,x[0]=0,"x[2,3]",14,4,1.8423709931771088
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,6,local_capacity_coord_block,x[4]=1,"x[2,3]",14,4,1.8423709931771088
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,7,local_capacity_next_block,x[0]=0,"T(x)[2,3]",14,4,1.8423709931771084
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,8,local_capacity_delta_block,x[0]=0,"delta[2,3]",14,4,1.8423709931771084
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,9,local_capacity_next_block,x[4]=1,"T(x)[2,3]",14,4,1.8423709931771084
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,10,local_capacity_delta_block,x[1]=0,"delta[2,3]",9,4,1.836591668108979
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,11,local_capacity_coord_block,x[1]=0,"x[3,4]",9,4,1.836591668108979
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,12,local_capacity_next_block,x[3]=0,"T(x)[1,2]",9,4,1.836591668108979
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,13,local_capacity_delta_block,x[2]=0,"delta[2,3]",13,4,1.8339272176418302
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,14,capacity_next_block,temporal_window=2;all,"T(x)[2,3]",17,4,1.8077635764171944
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,15,capacity_delta_block,temporal_window=2;all,"delta[2,3]",17,4,1.8077635764171942
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,16,capacity_coord_block,temporal_window=2;all,"x[2,3]",17,4,1.7838593436779768
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,17,local_capacity_coord_block,x[2]=0,"x[3,4]",13,4,1.7381493331928661
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,18,capacity_coord_block,temporal_window=2;all,"x[3,4]",17,4,1.6457113704075788
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,19,local_capacity_coord_block,x[0]=0,"x[1,2]",14,3,1.5566567074628228
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,rich,2,sliding,False,48,246,20,local_capacity_coord_block,x[4]=1,"x[1,2]",14,3,1.5566567074628228
